label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13	col_14
1	457 mph	-0.3969	Fabrice	baseball	150	Andrew	492 m/s	-1257	301	510	0.5366	-0.7111	Bioinformatics	632	0.6825
1	727 mph	NULL	Fabrice	baseball	-353	aNDREW	-1532 m/s	133	997	-466	0.796	-0.1665	Bioinformatics	933	-0.5327
5	628 mph	-0.5647	MICHAEL	running	1078	Sam	179 m/s	-1961	1068	-1249	-0.4188	0.7089	Biotechnology	45	0.3106
3	-270 mph	0.1038	Andrew	soccer	1038	Tony	1378 m/s	-280	356	?	-0.0153	0.7656	Electrical Engineering	-478	1.3295
4	737 mph	1.4899	Chris	soccer	1031	Vani	-518 m/s	1013	663	-438	-0.0655	1.7153	Robotics Engineering	469	1.1324
5	488 mph	-0.3681	Sam	football	1517	Sam	-875 m/s	492	900	216	0.1705	-0.1016	Biotechnology	52	0.8708
4	406 mph	0.9168	Chris	boxing	558	Vani	291 m/s	86	669	618	-0.18	0.9412	Technology and Information Management	534	1.2716
4	883 mph	1.0861	Chris	volleyball	1474	Vani	-427 m/s	-1135	872	477	-1.5339	1.6005	Bioinformatics	1880	0.4278
1	772 mph	0.0311	fABRICE	baseball	-119	Andrew	1391 m/s	-267	1151	823	1.3766	2.2225	Bioinformatics	1271	0.2845
4	360 mph	0.3106	Chris	baseball	1551	Vani	699 m/s	-843	859	1989	-0.3926	1.6168	Robotics Engineering	1234	-0.7887
7	-178 mph	1.3618	Inan	basketball	673	Inan	5 m/s	2502	104	251	-0.3856	0.4042	Computational Media	-1115	1.9174
5	-86 mph	0.9991	Eriq	running	253	Sam	-563 m/s	-343	601	-534	1.8765	0.4274	Biotechnology	147	0.1788
6	493 mph	0.2083	Tony	golf	-35	Fabrice	781 m/s	1325	1329	676	1.5361	1.723	Games and Playable Media	740	1.6627
7	858 mph	0.4144	Inan	soccer	-219	Inan	702 m/s	88	126	-1721	0.5927	1.1892	Computational Media	1615	0.0328
5	-2507 mph	1.075	Eriq	football	2220	Sam	-229 m/s	-579	-105	-177	-0.52	1.6105	Biotechnology	-435	-0.8309
3	-341 mph	0.5648	Inan	soccer	1333	Tony	1310 m/s	-411	795	891	-0.99	0.712	Computer Science	1418	1.7317
3	1397 mph	-0.4136	aNDREW	soccer	1117	tONY	632 m/s	542	1263	783	0.0338	0.568	nATURAL lANGUAGE pROCESSING	356	0.5759
7	593 mph	1.1767	Inan	track & field	742	Eriq	1107 m/s	1824	-420	-643	0.2105	0.8647	Computational Media	-66	0.0347
6	624 mph	0.9131	Tony	golf	1032	Fabrice	197 m/s	2190	1098	414	0.5727	-0.0671	Games and Playable Media	-595	0.6594
7	530 mph	0.2043	Lise	tennis	791	Inan	796 m/s	596	-517	634	0.2414	-0.6758	Computational Media	1705	1.3706
4	476 mph	0.7333	Chris	boxing	1287	Vani	-1132 m/s	1077	1748	1384	-1.2858	0.3189	TECHNOLOGY AND INFORMATION MANAGEMENT	1229	0.2184
0	-725 mph	0.2788	Lise	motor sports	439	Eriq	671 m/s	631	-91	825	0.7683	0.8766	Electrical Engineering	814	1.0414
3	-202 mph	-0.0191	Andrew	soccer	-41	Tony	1238 m/s	323	1338	2641	0.0738	0.497	Computer Science	1782	1.7193
6	1881 mph	1.3082	Tony	golf	1214	Chris	2894 m/s	-504	757	72	1.9513	0.9071	Human Computer Interaction	1300	-0.177
5	-468 mph	0.0109	Michael	football	1037	Sam	1431 m/s	849	-702	694	0.3328	1.4518	Biotechnology	524	0.2535
3	-567 mph	-0.8605	Andrew	soccer	1483	Tony	-105 m/s	209	961	1151	-0.181	0.3592	Natural Language Processing	-730	-0.0477
3	407 mph	0.264	Andrew	soccer	30	Tony	?	236	41	565	1.075	1.0208	Natural Language Processing	752	1.3527
2	1323 mph	0.6041	Vani	track & field	100	Andrew	387 m/s	912	610	1327	1.3572	0.7564	Applied Mathematics	888	1.2856
5	639 mph	1.5936	Sam	football	1353	Sam	-286 m/s	692	1324	1887	0.0925	0.6039	Biotechnology	2672	0.7771
3	-198 mph	0.1627	Andrew	soccer	1788	Tony	1987 m/s	797	144	574	1.212	0.0792	Natural Language Processing	-504	0.1359
2	-1139 mph	1.298	Vani	TRACK & FIELD	-785	Reilly	910 m/s	1144	1031	292	0.8508	2.3836	Applied Mathematics	-309	1.7178
2	1623 mph	0.5432	Vani	track & field	-474	Reilly	2613 m/s	1902	327	395	1.4086	0.6841	Applied Mathematics	1359	0.6824
1	1491 mph	0.0093	Fabrice	baseball	215	Andrew	-298 m/s	1267	903	792	0.2596	0.2736	Bioinformatics	2800	0.3278
6	1135 mph	1.1255	TONY	golf	810	Inan	1716 m/s	-1823	1360	-139	0.805	-1.0023	Computer Game Design	413	0.5438
4	1153 mph	0.6224	Chris	volleyball	-16	vANI	548 m/s	n/a	1180	-782	-0.4862	0.4806	Robotics Engineering	-279	-0.7976
3	26 mph	-0.478	Andrew	soccer	1650	Tony	1485 m/s	1361	1400	1341	-0.0003	1.7212	Natural Language Processing	1008	1.7427
2	552 mph	0.0285	Vani		566	Lise	-611 m/s	-1792	1289	-190	-0.6647	1.709	Applied Mathematics	-845	0.7986
3	7 mph	0.6693	Fabrice	soccer	237	Tony	2078 m/s	1467	452	1265	-0.5614	1.0525	Natural Language Processing	-786	-0.4088
6	757 mph	-1.2442	tony	ice hockey	305	fabrice	722 m/s	939	2074	406	0.5264	-0.0552	Computer Game Design	3395	0.753
2	806 mph	0.7677	REILLY	track & field	1148	Reilly	569 m/s	823	621	-503	0.0616	2.9469	Data Science	607	1.7414
2	1742 mph	1.6771	Michael	track & field	-609	Lise	1578 m/s	1641	1249	-563	0.2987	-0.2051	Applied Mathematics	2192	0.3454
6	1240 mph	0.8461	Tony	golf	895	Chris	2111 m/s	687	470	-792	0.1301	0.2049	Human Computer Interaction	-40	0.8332
4	1181 mph	1.1441	Chris	volleyball	-112	Vani	-790 m/s	-1238	2035	-523	0.4616	1.846	Robotics Engineering	824	0.0789
0	-1048 mph	-0.1616	Lise	motor sports	92	Michael	609 m/s	-1146	198	-207	0.0699	0.1661	Biotechnology	915	-0.4375
3	1696 mph	1.2532	Andrew	soccer	2426	Inan	1569 m/s	411	1870	-2085	0.5348	0.5329	Computer Science	2044	0.4985
6	495 mph	2.3584	Lise	golf	747	Fabrice	1698 m/s	1622	633	-427	0.4689	0.4759	Computer Game Design	86	-0.0794
1	777 mph	-0.7307	Fabrice	volleyball	-1128	Andrew	-1029 m/s	1094	696	-410	0.1301	1.9242	Bioinformatics	1220	-0.8751
6	-1254 mph	2.6409	TONY	golf	1252	Chris	834 m/s	75	1262	1014	0.2896	0.4216	Computer Game Design	1994	0.3955
7	-580 mph	1.2644	Inan	basketball	1712	Inan	1130 m/s	-427	-303	887	-0.9259	-0.903	Computational Media	-355	0.3401
2	-119 mph	1.1966	REILLY	track & field	240	Lise	2233 m/s	1566	1553	2122	1.1479	0.0509	Data Science	-865	0.2031
1	1068 mph	1.0166	Fabrice	baseball	188	Andrew	793 m/s	1488	638	244	1.9666	-0.6715	Bioinformatics	-676	-0.1815
2	1265 mph	1.0442	Vani	baseball	419	Reilly	1052 m/s	1194	2016	307	-0.9752	2.4671	Applied Mathematics	613	0.3984
3	772 mph	0.6905	Andrew	soccer	1360	Tony	554 m/s	2480	609	2344	-0.8321	0.0719	Computer Science	-1110	0.5225
2	-240 mph	0.6405	Reilly	track & field	1138	Reilly	447 m/s	-1787	826	-860	-2.4297	2.1304	Electrical Engineering	627	-0.553
2	-210 mph	1.6859	Vani	track & field	-80	Reilly	597 m/s	-63	769	-1233	0.1167	1.1047	Applied Mathematics	-890	1.628
7	-1029 mph	1.4384	Inan	tennis	799	Inan	1478 m/s	522	1758	185	0.5622	0.0115	Computational Media	-2402	1.9506
3	649 mph	-0.9987	Andrew	N/A	2073	Tony	1364 m/s	-229	1256	555	-0.7166	-0.2023	Natural Language Processing	-684	1.5249
0	1004 mph	0.0837	Lise	boxing	1490	Michael	1105 m/s	-646	1009	1674	0.7515	-0.3168	statistics	18	0.985
4	804 mph	2.2484	Chris	volleyball	622	NULL	-759 m/s	1623	1668	672	0.6414	1.3629	Technology and Information Management	2171	0.1526
7	1375 mph	0.486	Inan	basketball	-247	Inan	3253 m/s	748	132	-981	-0.6138	0.3683	Computational Media	1162	0.368
1	75 mph	-0.358	Fabrice	baseball	-703	Tony	-609 m/s	297	1694	1198	1.1747	0.2103	Bioinformatics	-604	-0.6721
4	47 mph	0.9407	Andrew	Boxing	578	Vani	775 m/s	48	1188	-316	-0.4393	0.2277	Technology and Information Management	1848	0.9912
6	932 mph	1.0872	Tony	golf	-743	Fabrice	332 m/s	1254	779	1012	0.3297	1.6885	Computer Game Design	-1347	-0.2471
6	1436 mph	0.235	Tony	ice hockey	810	Reilly	2053 m/s	3419	1401	1255	-0.2179	0.0974	Computer Game Design	317	0.8302
0	545 mph	-0.6811	Lise	motor sports	1592	Michael	2243 m/s	1659	-229	361	1.3324	0.9708	Bioengineering	1502	-0.1151
3	530 mph	0.0443	Andrew	soccer	1572	TONY	-226 m/s	1760	-198	-319	0.6466	-0.5494	Computer Science	682	n/a
0	NULL	0.0443	Lise	motor sports	-854	Eriq	1655 m/s	1291	654	2292	-0.2667	0.904	Electrical Engineering	146	-0.8668
5	866 mph	-0.2034	Sam	football	516	Sam	-346 m/s	-140	-149	1145	-0.4016	3.0195	Biotechnology	-647	-0.157
1	965 mph	0.5267	Fabrice	baseball	1336	Andrew	67 m/s	2207	684	-1917	2.2207	-0.1188	Bioinformatics	1069	-0.0129
5	604 mph	1.0453	Michael	running	632	sAM	2310 m/s	135	-472	-357	0.5568	-0.0364	Biotechnology	-34	-0.2178
1	1493 mph	0.3076	Fabrice	baseball	385	Andrew	-445 m/s	1598	410	638	0.3539	1.0068	Bioinformatics	-1005	0.1515
1	670 mph	-0.2756	Fabrice	baseball	549	Andrew	204 m/s	711	1569	-2	-0.2299	0.4194	Bioinformatics	1145	-0.5362
7	-712 mph	-1.4502	Inan	tennis	750	Inan	-371 m/s	932	1722	2304	0.0264	-0.0814	Computational Media	942	1.2459
1	-142 mph	0.0529	Fabrice	boxing	304	Andrew	847 m/s	251	902	579	0.0056	0.0202	Bioinformatics	1075	1.0716
7	231 mph	1.8854	Inan	basketball	766	Inan	1512 m/s	1453	602	-463	-0.7868	1.6361	Computational Media	-42	0.2299
6	-446 mph	0.9914	Tony	golf	727	Chris	1178 m/s	1431	195	823	-0.4026	0.0292	Human Computer Interaction	-196	0.8281
3	405 mph	-0.8494	Andrew	soccer	1834	Tony	1795 m/s	459	1352	-1030	-0.4765	1.2141	Computer Science	1598	0.6025
1	1567 mph	-0.6295	Fabrice	golf	122	Andrew	220 m/s	-122	35	-40	2.0915	1.4366	Bioinformatics	-558	0.741
4	281 mph	0.4006	Chris	volleyball	1084	Vani	1545 m/s	-494	645	291	-0.466	1.401	Computer Engineering	-603	0.1613
5	1709 mph	-1.0854	Michael	football	2177	SAM	1287 m/s	-259	-91	-602	0.5647	-0.4784	Biotechnology	-628	0.1612
3	49 mph	-0.3874	Andrew	soccer	-987	Tony	1526 m/s	-634	1810	87	-0.0132	1.8498	Bioinformatics	-1158	0.1236
5	-652 mph	1.224	Eriq	football	1460	Sam	1002 m/s	641	-429	332	-0.2377	-0.0042	biotechnology	-289	1.4003
0	-231 mph	0.3901	Lise	badminton	1459	Michael	868 m/s	n/a	988	-173	1.1197	0.1518	Bioengineering	-751	0.678
3	603 mph	-0.1119	Andrew	SOCCER	1258	Tony	1226 m/s	-158	1324	638	-0.0158	1.2057	Computer Science	846	0.3047
4	125 mph	0.696	Chris	boxing	470	Vani	313 m/s	772	256	86	-1.6728	1.5137	robotics engineering	-1141	-0.8859
6	206 mph	0.2492	Tony	GOLF	1737	Chris	718 m/s	615	1548	-323	1.5968	-0.626	Human Computer Interaction	-81	-0.9838
0	863 mph	1.6578	Lise	motor sports	-569	Michael	969 m/s	1039	-38	1762	0.611	-0.3668	Electrical Engineering	1160	-0.8189
0	1010 mph	0.6021	Lise	motor sports	884	Eriq	416 m/s	1356	853	-189	0.4484	-0.0005	Electrical Engineering	2380	0.6676
2	920 mph	1.4377	VANI	track & field	-223	Reilly	672 m/s	-1853	1199	-286	-0.1084	-0.5922	Bioengineering	-95	0.5725
6	-830 mph	0.9578	Tony	ice hockey	1995	Lise	1367 m/s	1192	1134	1035	-0.4538	-0.3259	Games and Playable Media	581	1.7108
5	1060 mph	0.769	Sam	football	1821	Sam	1256 m/s	376	359	-1320	-0.4102	1.2672	Biotechnology	466	0.3345
3	-470 mph	0.7932	Vani	soccer	799	Tony	1664 m/s	317	131	2775	-0.871	2.2321	Computer Science	790	0.1358
7	-607 mph	0.9142	Inan	basketball	977	inan	1736 m/s	527	972	474	-1.1753	0.7695	Computational Media	505	0.469
4	-257 mph	1.2805	Chris	Boxing	-169	Vani	-116 m/s	514	618	1646	-1.4532	0.2209	Computer Engineering	-82	0.4763
4	324 mph	1.4623	Chris	volleyball	2874	Vani	297 m/s	112	1085	960	-0.3471	1.2059	Technology and Information Management	-1234	0.2254
4	-868 mph	-0.0954	Chris	volleyball	635	Lise	-1151 m/s	702	115	1889	-1.1967	1.2207	Computer Engineering	-134	-0.4782
1	1300 mph	-0.4369	FABRICE	baseball	1182	Andrew	2491 m/s	1235	-653	26	1.1612	0.2601	Bioinformatics	874	1.2463
1	1469 mph	0.3947	Fabrice	baseball	-1410	Andrew	-651 m/s	2005	321	394	0.7951	-0.2238	Bioinformatics	1145	0.2445
3	287 mph	0.7158	Andrew	soccer	784	Tony	992 m/s	-474	1496	?	0.4315	2.7948	Computer Science	1066	1.4093
6	2089 mph	1.0489	Chris	ice hockey	558	Fabrice	1283 m/s	869	-812	-270	1.0402	0.1878	Computer Game Design	2900	0.8333
7	841 mph	-0.2485	Inan	basketball	1595	Inan	1226 m/s	1785	-389	-1761	1.1982	0.336	Computational Media	-490	1.9126
1	-579 mph	-1.4594	Fabrice	baseball	-315	Inan	-99 m/s	-530	491	-1146	2.0483	1.679	Bioinformatics	-1459	-0.3835
6	602 mph	0.1649	Tony	golf	-163	Fabrice	183 m/s	1215	49	676	1.1691	1.6277	Biotechnology	2331	1.4879
1	1711 mph	1.3404	Fabrice	volleyball	-752	Andrew	-6 m/s	1418	385	1538	-0.9728	0.954	Bioinformatics	2595	0.1215
2	277 mph	0.9303	Reilly	track & field	308	Reilly	467 m/s	813	1113	-186	-0.6973	-0.2403	Data Science	1118	1.1514
4	268 mph	-0.539	Andrew	volleyball	915	Vani	-68 m/s	-438	623	484	0.8595	2.3218	Computer Engineering	679	0.6626
0	-638 mph	-0.7836	None	motor sports	83	Eriq	85 m/s	-919	528	1783	-0.3038	1.4623	Electrical Engineering	-1671	NULL
1	1172 mph	-0.3272	Chris	golf	-1061	Andrew	394 m/s	-155	-770	170	1.3931	0.702	Bioinformatics	47	0.3983
1	822 mph	0.4777	Fabrice	baseball	598		586 m/s	1211	94	-889	-0.1611	1.8159	Bioinformatics	-1130	0.7275
7	1617 mph	-0.5445	Inan	basketball	1077	Fabrice	488 m/s	1504	231		0.1062	1.1149	Computational Media	143	1.3425
3	-111 mph	-0.434	Andrew	track & field	481	Tony	771 m/s	1307	1481	-738	-0.5818	0.1654	Computer Science	1844	1.2668
7	1001 mph	0.3767	Inan	tennis	1069	Inan	-815 m/s	2880	1012	1548	0.6119	n/a	Computational Media	0	1.5311
6	987 mph	0.6323	Tony	ice hockey	241	Fabrice	1936 m/s	1367	298	-342	-0.1844	-0.6315	Games and Playable Media	582	0.4898
7	333 mph	0.7315	Inan	tennis	308	Inan	107 m/s	1053	945	1065	-0.3847	1.462	Computational Media	557	0.9088
2	784 mph	1.0617	Chris	track & field	-252	Lise	153 m/s	363	1449	803	-1.134	1.0412	Data Science	-696	1.1119
2	4 mph	0.7567	Reilly	track & field	-304	Reilly	852 m/s	1571	-36	-273	1.5351	1.4648	Applied Mathematics	20	-0.7842
2	1103 mph	1.6675	Fabrice	track & field	-5	Reilly	-743 m/s	790	876	-1182	-0.489	0.7906	Data Science	-254	-0.1891
2	164 mph	0.2815	Reilly	track & field	-663	Lise	398 m/s	2198	1097	-533	-0.139	0.5984	Data Science	352	1.0669
2	368 mph	1.2748	vANI	track & field	1091	Lise	-45 m/s	1441	632	817	0.6828	1.4589	Applied Mathematics	637	1.2373
3	1125 mph	0.3134	Andrew	soccer	1162	Tony	129 m/s	515	498	823	-1.1592	1.5937	N/A	1507	0.3219
3	574 mph	0.4392	Andrew	badminton	1225	Inan	265 m/s	568	940	-1145	0.5862	1.5805	Natural Language Processing	565	1.2445
2	1330 mph	1.8396	Vani	track & field	705	Reilly	717 m/s	1801	296	430	1.6457	0.0198	Applied Mathematics	451	0.8843
5	1052 mph	0.5511	Sam	football	-202	Sam	2086 m/s	-3	-162	104	1.3698	0.1528	Biotechnology	-505	0.6577
3	1012 mph	0.6841	Andrew	motor sports	-99	Tony	806 m/s	790	1499	401	-0.3446	-0.271	Computer Science	1326	1.5434
5	345 mph	0.5838	Inan	football	553	Sam	1008 m/s	442	181	1472	-0.2325	-0.0205	Biotechnology	-211	1.6934
2	807 mph	0.1589	Vani	track & field	545	Lise	2136 m/s	2001	110	-240	0.5287	1.6034	Data Science	1588	0.7272
1	88 mph	0.083	Fabrice	badminton	-13	Andrew	1243 m/s	1866	802	955	0.8848	1.8395	Bioinformatics	1983	-0.9199
1	1088 mph	1.7458	Fabrice	baseball	-921	Andrew	160 m/s	980	903	199	-0.3606	1.1389	Bioinformatics	150	0.622
3	1295 mph	0.2098	Andrew	soccer	-132	Tony	-487 m/s	-431	1294	2018	0.2045	0.3998	Natural Language Processing	2018	0.7755
3	1150 mph	-1.0167	Andrew	soccer	728	Tony	1485 m/s	-974	1071	1794	-0.7336	1.5206	cOMPUTER sCIENCE	1160	0.3258
3	-516 mph	0.815	Inan	soccer	715	Tony	1615 m/s	205	-83	454	-0.1812	-0.5638	Natural Language Processing	4119	0.7369
2	1587 mph	0.91	Reilly	track & field	-755	Lise	801 m/s	200	524	-785	-0.5658	0.6911	Applied Mathematics	1754	-0.0106
2	-976 mph	1.4819	Vani	track & field	508	Lise	571 m/s	1508	1369	1459	0.0602	-0.0533	Data Science	1232	1.0089
5	559 mph	0.0637	Eriq	running	-183	Sam	-427 m/s	1843	559	-1012	-0.9999	0.2525	Biotechnology	240	-0.2882
1	1593 mph	0.7071	Fabrice	baseball	0	Andrew	-839 m/s	887	-482	700	1.4562	1.4135	Bioinformatics	753	0.8499
5	-1182 mph	-2.3921	SAM	track & field	367	Sam	1855 m/s	66	995	-450	0.1771	0.4897	Biotechnology	978	-0.0888
2	-48 mph	-0.5125	Reilly	track & field	-53	Lise	1209 m/s	-396	680	203	0.1889	0.8239	Data Science	1078	-0.4757
5	61 mph	-1.1589	Eriq	running	2040	Michael	1150 m/s	490	457	883	-1.0675	0.6284	Biotechnology	-264	1.7088
7	-56 mph	1.6025	Inan	basketball	1387	Inan	-150 m/s	-524	124	1201	0.0509	1.295	Computational Media	-1184	0.9946
6	254 mph	NULL	Tony	ice hockey	594	Fabrice	49 m/s	582	1445	-138	0.5712	0.6707	Human Computer Interaction	1590	0.4768
3	-394 mph	0.5183	Andrew	soccer	711	Tony	1887 m/s	1342	289	770	0.036	0.0384	Computer Science	-1868	1.3587
1	-6 mph	0.0246	Fabrice	baseball	380	Andrew	230 m/s	1832	20	-1412	0.3169	0.6738	Bioinformatics	-67	1.8387
5	577 mph	-0.0719	Michael	football	944	Sam	1691 m/s	638	-735	-1236	-0.9863	0.6075	Biotechnology	1063	-0.8335
6	1704 mph	0.0712	Tony	ice hockey	1593	Chris	703 m/s	920	1383	1017	0.8756	0.3491	Human Computer Interaction	1453	0.0446
0	1562 mph	-0.0248	Lise	badminton	1325	Michael	None	303	198	-799	2.1551	0.5669	Electrical Engineering	-918	-0.1965
4	-68 mph	1.1697	cHRIS	boxing	1688	Andrew	690 m/s	160	-7	987	-0.0668	1.5096	Computer Engineering	-126	0.5094
1	392 mph	0.6566	Fabrice	baseball	1009	Andrew	1233 m/s	2446	545	54	0.0942	-0.753	Bioinformatics	-1263	-0.0926
6	1700 mph	1.2744	Tony	golf	1614	Chris	136 m/s	-152	1079	1754	-0.1284	-0.1692	Biotechnology	663	1.3611
0	639 mph	0.4683	Lise	motor sports	608	Eriq	1506 m/s	1126	-557	-666	0.0121	0.3889	Electrical Engineering	1001	-0.2594
4	799 mph	-0.0255	Chris	volleyball	677	Vani	307 m/s	185	870	-473	0.4576	-0.2443	Technology and Information Management	1139	0.6503
5	1295 mph	-0.7968	Sam	running	780	Sam	1708 m/s	830	978	702	-0.8029	0.024	Technology and Information Management	884	-0.2335
7	-4 mph	-0.5063	Inan	tennis	760	Inan	1571 m/s	853	1214	1342	1.481	0.6564	Computational Media	-11	0.9375
3	-270 mph	0.0035	Andrew	soccer	1104	Tony	139 m/s	-674	645	1029	-0.0133	1.125	Computer Science	1757	0.8598
3	-143 mph	-0.0647	aNDREW	soccer	255	Tony	1125 m/s	-365	834	160	1.4172	1.599	Computer Science	-1063	1.3759
7	1806 mph	0.4886	Inan	motor sports	2205	Inan	327 m/s	1226	17	406	-0.3438	1.2439	Computational Media	208	0.8304
2	808 mph	1.9865	Vani	track & field	932	Lise	1521 m/s	447	1254	-1195	-0.2431	-0.4539	Data Science	-1397	0.1732
5	641 mph	-0.3737	Sam	football	1857	Sam	26 m/s	1369	388	1446	0.0987	4.1892	Biotechnology	-348	0.37
1	908 mph	-0.7334	Fabrice	baseball	-488	Andrew	1367 m/s	3107	-594	360	1.0188	2.1865	Bioinformatics	157	0.4198
2	927 mph	1.4913	Reilly	track & field	631	Reilly	19 m/s	1934	592	2046	-0.4533	0.3866	Applied Mathematics	-431	1.7914
0	749 mph	0.5036	Lise	motor sports	1944	Michael	546 m/s	1022	-715	1135	1.0813	0.1182	Bioengineering	220	-0.3575
1	1899 mph	1.4426	Fabrice	baseball	-498	Andrew	1799 m/s	1260	-974	-1659	1.0874	1.9154	Bioinformatics	553	0.5729
6	1042 mph	0.8007	Tony	golf	2159	Fabrice	-269 m/s	1580	665	922	0.2151	-0.487	Human Computer Interaction	530	0.9891
7	953 mph	0.8578	Inan	tennis	1388	?	1734 m/s	655	878	931	-0.5938	0.5796	Computational Media	-135	0.5228
1	812 mph	-0.0217	Fabrice	baseball	-109	Andrew	277 m/s	-618	469	524	2.3733	1.0272	Bioinformatics	434	-0.8141
6	548 mph	0.0476	Tony	golf	9	Fabrice	560 m/s	2535	891	-697	0.3284	-1.2221	Games and Playable Media	532	0.193
3	1578 mph	0.1664	Andrew	soccer	1659	Inan	987 m/s	612	125	-1284	-1.0116	0.5551	Computer Science	-1171	0.2644
3	-18 mph	0.3766	Andrew	soccer	388	Tony	201 m/s	-952	341	2616	-0.2233	0.7058	Natural Language Processing	-845	1.8298
3	1407 mph	-0.4035	Andrew	basketball	1612	Tony	284 m/s	-690	1291	-1469	-0.2496	0.6236	Computer Science	489	0.0466
3	-213 mph	-0.2997	Andrew	soccer	567	Tony	1221 m/s	769	744	775	1.2333	2.1583	Natural Language Processing	996	
0	-147 mph	0.4039	Lise	badminton	727	Eriq	2109 m/s	665	619	-1626	1.0452	0.1328	Statistics	-1008	0.6573
0	-1248 mph	-0.3104	Lise	motor sports	697	Eriq	2402 m/s	-190	1317	124	0.5818	1.1639	Statistics	1033	-0.0297
4	784 mph	0.6597	Chris	volleyball	607	Vani	725 m/s	-89	1682	-1557	-0.7833	1.9645	Computer Engineering	-684	1.2253
3	-19 mph	-0.3717	Andrew	soccer	1584	Tony	34 m/s	412	166	2022	0.5124	1.423	Natural Language Processing	1084	0.8277
2	427 mph	0.7595	Reilly	track & field	424	Vani	-329 m/s	162	-709	1261	0.1705	0.74	Applied Mathematics	-766	1.1527
6	804 mph	0.8856	Tony	ice hockey	2133	Chris	1459 m/s	1084	1893	-114	-1.4121	0.6999	Computer Game Design	1451	0.313
